sample_id,sample_reason_code,sample_reason_note,ticker,name,market,exchange,sector,sub_industry,market_cap_usd_b,turnaround_flag,source,role,risk_level,risk_flags,action,review_reason,adr_flag,foreign_ownership_pct,already_in_step3_samples
S3F-001,ADR_MEGACAP,adr_flag=Y; market_cap_usd_b>=100; ADR megacap axis,TSM,Taiwan Semiconductor Manufacturing Company Limited,US,NYSE,Information Technology,Semiconductors,1100.0,N,ADR_50B+,CORE,LOW,ADR_FOREIGN_LISTING,KEEP_CORE,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,Y,,N
S3F-002,ADR_MEGACAP,adr_flag=Y; market_cap_usd_b>=100; ADR megacap axis,ASML,ASML Holding N.V.,US,NASDAQ,Information Technology,Semiconductor Equipment,597.0,N,NDX_ADR,CORE,LOW,ADR_FOREIGN_LISTING,KEEP_CORE,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,Y,,N
S3F-003,ADR_CORE,adr_flag=Y; role=CORE; ADR core axis,SAP,SAP SE,US,NYSE,Information Technology,Software,320.0,N,ADR_50B+,CORE,LOW,ADR_FOREIGN_LISTING,KEEP_CORE,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,Y,,N
S3F-004,ADR_CORE,adr_flag=Y; role=CORE; ADR core axis,BABA,Alibaba Group Holding Limited,US,NYSE,Consumer Discretionary,Broadline Retail,280.0,N,ADR_50B+,CORE,LOW,ADR_FOREIGN_LISTING,KEEP_CORE,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,Y,,N
S3F-005,ADR_CORE,adr_flag=Y; role=CORE; ADR core axis,TM,Toyota Motor Corporation,US,NYSE,Consumer Discretionary,Automobiles,250.0,N,ADR_50B+,CORE,LOW,ADR_FOREIGN_LISTING,KEEP_CORE,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,Y,,N
S3F-006,ADR_KR_RELATED,KR-related ADR candidate; adr_flag=Y,CPNG,Coupang Inc.,US,NYSE,Consumer Discretionary,Broadline Retail,38,N,US_ADR_KR_COMPANY,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,Y,,Y
S3F-007,ADR_KR_RELATED,KR-related ADR candidate; adr_flag=Y,PKX,POSCO Holdings Inc. ADR,US,NYSE,Materials,Metals & Mining,23,N,US_ADR_KR_COMPANY,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,Y,,N
S3F-008,ADR_EXTENDED,adr_flag=Y; role=EXTENDED; ADR extended axis,FER,Ferrovial N.V.,US,NASDAQ,Industrials,Construction & Engineering,48.0,N,NDX_ADR,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,Y,,Y
S3F-009,ADR_EXTENDED,adr_flag=Y; role=EXTENDED; ADR extended axis,CCEP,Coca-Cola Europacific Partners PLC,US,NASDAQ,Consumer Staples,Beverages,40.0,N,NDX_ADR,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,Y,,Y
S3F-010,ADR_EXTENDED,adr_flag=Y; role=EXTENDED; ADR extended axis,TRI,Thomson Reuters Corporation,US,NASDAQ,Industrials,Professional Services,35.0,N,NDX_ADR,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,Y,,Y
S3F-011,ADR_EXTENDED,adr_flag=Y; role=EXTENDED; ADR extended axis,ABEV,Ambev S.A.,US,NYSE,Consumer Staples,Beverages,35.0,N,ADR,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,Y,,Y
S3F-012,ADR_EXTENDED,adr_flag=Y; role=EXTENDED; ADR extended axis,BBD,Banco Bradesco S.A.,US,NYSE,Financials,Banks,32.0,N,ADR,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,Y,,N
S3F-013,ADR_EXTENDED,adr_flag=Y; role=EXTENDED; ADR extended axis,ASR,Grupo Aeroportuario del Sureste,US,NYSE,Industrials,Transportation Infrastructure,8.0,N,ADR,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,Y,,N
S3F-014,REFERENCE_NON_ADR_CORE,adr_flag=N; role=CORE; non-ADR reference axis,JPM,JPMorgan Chase & Co.,US,NYSE,Financials,Banks,805.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,,Y
S3F-015,REFERENCE_NON_ADR_CORE,adr_flag=N; role=CORE; non-ADR reference axis,MSFT,Microsoft Corporation,US,NASDAQ,Information Technology,Software,3150.0,N,SP500+NDX,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,,Y
S3F-016,KR_DOMESTIC_TELECOM,KR domestic telecom candidate,030200.KS,KT,KR,KOSPI,Communication Services,Wireless Telecommunication,9.8,N,KOSPI_TOP_ADR_AVAILABLE_FOREIGN_HIGH; JUDAL_2026_05_26,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,N,49,N
S3F-017,KR_DOMESTIC_TELECOM,KR domestic telecom candidate,017670.KS,SK텔레콤,KR,KOSPI,Communication Services,Wireless Telecommunication,15.7,N,KOSPI_TOP_ADR_AVAILABLE_FOREIGN_HIGH; JUDAL_2026_05_26,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,45,N
S3F-018,KR_DOMESTIC_TELECOM,KR domestic telecom candidate,032640.KS,LG유플러스,KR,KOSPI,Communication Services,Wireless Telecommunication,4.8,N,KOSPI_TELECOM; JUDAL_2026_05_26,DISCOVERY_ONLY,HIGH,SMALL_CAP_RISK,DISCOVERY_ONLY,SMALL_CAP_KOREA; METADATA_ONLY_AUDIT; market cap metadata below core threshold,N,25,Y
S3F-019,KR_DOMESTIC_UTILITY,KR domestic utility candidate,015760.KS,한국전력,KR,KOSPI,Utilities,Electric Utilities,18.5,N,KOSPI_TOP_ADR_AVAILABLE; JUDAL_2026_05_26,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,15,N
S3F-020,KR_DOMESTIC_INFRA,KR domestic infrastructure candidate,088980.KS,맥쿼리인프라,KR,KOSPI,Utilities,Multi-Utilities,3.8,N,KOSPI_INFRA_REIT; JUDAL_2026_05_26,DISCOVERY_ONLY,HIGH,SMALL_CAP_RISK,DISCOVERY_ONLY,SMALL_CAP_KOREA; METADATA_ONLY_AUDIT; market cap metadata below core threshold,N,30,N
S3F-021,KR_DOMESTIC_FINANCIAL_HOLDING,KR domestic financial candidate,105560.KS,KB금융,KR,KOSPI,Financials,Banks,41.9,N,KOSPI_TOP_FOREIGN_HIGH; JUDAL_2026_05_26; holding_classification_v0_2,EXTENDED,MEDIUM,HOLDING_COMPANY,KEEP_EXTENDED,HOLDING_COMPANY_NATURE; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,75,Y
S3F-022,KR_DOMESTIC_FINANCIAL_HOLDING,KR domestic financial candidate,032830.KS,삼성생명,KR,KOSPI,Financials,Insurance,49.7,N,KOSPI_TOP; JUDAL_2026_05_26,EXTENDED,MEDIUM,NONE,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,30,Y
S3F-023,KR_DOMESTIC_CONSUMER,KR domestic consumer candidate,033780.KS,KT&G,KR,KOSPI,Consumer Staples,Tobacco,13.5,N,KOSPI_TOP_FOREIGN_HIGH; JUDAL_2026_05_26,EXTENDED,MEDIUM,NONE,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,45,N
S3F-024,KOSDAQ_THEME_CONTRAST,KOSDAQ theme/source contrast,222800.KQ,심텍,KR,KOSDAQ,Information Technology,Electronic Components,3.6,N,JUDAL_2026_05_26; KOSDAQ_THEME_AI_TOP,DISCOVERY_ONLY,HIGH,KOSDAQ_THEME_RISK;SMALL_CAP_RISK;SECTOR_VOLATILITY,DISCOVERY_ONLY,KOSDAQ_THEME_SLOT; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; theme-slot row retained for discovery monitoring only,N,,Y
S3F-025,KOSDAQ_THEME_CONTRAST,KOSDAQ theme/source contrast,108490.KQ,로보티즈,KR,KOSDAQ,Industrials,Machinery,3.3,N,JUDAL_2026_05_26; KOSDAQ_THEME_ROBOTICS_TOP,DISCOVERY_ONLY,HIGH,KOSDAQ_THEME_RISK;SMALL_CAP_RISK;SECTOR_VOLATILITY,DISCOVERY_ONLY,KOSDAQ_THEME_SLOT; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; theme-slot row retained for discovery monitoring only,N,,Y
S3F-026,KOSDAQ_THEME_CONTRAST,KOSDAQ theme/source contrast,310210.KQ,보로노이,KR,KOSDAQ,Health Care,Biotechnology,3.6,N,JUDAL_2026_05_26; KOSDAQ_THEME_BIO_TOP_EX_TOP15,HIGH_RISK_REVIEW,HIGH,BIOTECH_RISK;KOSDAQ_THEME_RISK;SMALL_CAP_RISK;HEALTHCARE_EVENT_RISK,REVIEW_BEFORE_SCORING,BIOTECH_CLINICAL_RISK; KOSDAQ_THEME_SLOT; METADATA_ONLY_AUDIT; KOSDAQ healthcare row requires event-risk review,N,,N
S3F-027,HC_EVENT_CORE,HEALTHCARE_EVENT_RISK; role=CORE,UNH,UnitedHealth Group Incorporated,US,NYSE,Health Care,Health Care Providers,355.0,N,SP500,CORE,LOW,HEALTHCARE_EVENT_RISK,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,,N
S3F-028,HC_EVENT_CORE,HEALTHCARE_EVENT_RISK; role=CORE,TMO,Thermo Fisher Scientific Inc.,US,NYSE,Health Care,Life Sciences Tools,164.0,N,SP500,CORE,LOW,HEALTHCARE_EVENT_RISK,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,,N
S3F-029,HC_EVENT_CORE,HEALTHCARE_EVENT_RISK; role=CORE,ISRG,Intuitive Surgical Inc.,US,NASDAQ,Health Care,Health Care Equipment,155.0,N,SP500+NDX,CORE,LOW,HEALTHCARE_EVENT_RISK,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,,N
S3F-030,HC_EVENT_EXTENDED,HEALTHCARE_EVENT_RISK; role=EXTENDED,EW,Edwards Lifesciences Corporation,US,NYSE,Health Care,Health Care Equipment,47.0,N,SP500,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,,Y
S3F-031,HC_EVENT_EXTENDED,HEALTHCARE_EVENT_RISK; role=EXTENDED,CAH,Cardinal Health Inc.,US,NYSE,Health Care,Health Care Providers,46.0,N,SP500,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,,Y
S3F-032,HC_EVENT_EXTENDED,HEALTHCARE_EVENT_RISK; role=EXTENDED,IDXX,IDEXX Laboratories Inc.,US,NASDAQ,Health Care,Health Care Equipment,43.0,N,SP500+NDX,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,,Y
S3F-033,HC_EVENT_EXTENDED,HEALTHCARE_EVENT_RISK; role=EXTENDED,BDX,Becton Dickinson and Company,US,NYSE,Health Care,Health Care Equipment,39.0,N,SP500,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,,Y
S3F-034,HC_EVENT_EXTENDED,HEALTHCARE_EVENT_RISK; role=EXTENDED,HUM,Humana Inc.,US,NYSE,Health Care,Health Care Providers,36.0,N,SP500,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,,Y
S3F-035,HC_EVENT_EXTENDED,HEALTHCARE_EVENT_RISK; role=EXTENDED,WAT,Waters Corporation,US,NYSE,Health Care,Life Sciences Tools,32.0,N,SP500,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,,N
S3F-036,HC_LARGE_PHARMA_REFERENCE,large pharma reference; metadata comparison axis,LLY,Eli Lilly and Company,US,NYSE,Health Care,Pharmaceuticals,881.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,,Y
S3F-037,HC_LARGE_PHARMA_REFERENCE,large pharma reference; metadata comparison axis,JNJ,Johnson & Johnson,US,NYSE,Health Care,Pharmaceuticals,551.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,,Y
S3F-038,HC_BIOTECH_BOUNDARY,biotech or bio-manufacturing boundary candidate,AMGN,Amgen Inc.,US,NASDAQ,Health Care,Biotechnology,175.0,N,SP500+NDX,EXTENDED,MEDIUM,BIOTECH_RISK;HEALTHCARE_EVENT_RISK,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,,N
S3F-039,HC_BIOTECH_BOUNDARY,biotech or bio-manufacturing boundary candidate,GILD,Gilead Sciences Inc.,US,NASDAQ,Health Care,Biotechnology,160.0,N,SP500+NDX,EXTENDED,MEDIUM,BIOTECH_RISK;HEALTHCARE_EVENT_RISK,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,,N
