ticker,name,market,sector,sub_industry,market_cap_usd_b,turnaround_flag,legacy_v0_1_universe_role,legacy_v0_1_action,legacy_v0_1_reason,v0_3_universe_role,v0_3_action,v0_3_reason,candidate_track,gate3_recovery_required,gate3_recovery_status,gate3_continuation_status,gate3_final_status,ra_drawdown_from_52w_high_pct,ra_pass,rb_rebound_from_6m_low_pct,rb_pass,rc_ma50,rc_ma200,rc_pass,rd_avg_volume_1m,rd_avg_volume_6m,rd_pass,ca_drawdown_from_52w_high_pct,ca_pass,cb_pass,cc_1m_return_pct,cc_pass,cd_avg_volume_1m,cd_avg_volume_3m,cd_pass,ce_gate2_full_pass,ce_pass,price_data_source,price_data_asof,as_of_date,gate3_missing_data_notes,compatibility_notes
NVDA,NVIDIA Corporation,US,Information Technology,Semiconductors,5380.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-9.8159,N,28.7159,Y,198.0876,187.3524,Y,162861323.81,171407393.65,N,-9.8159,Y,Y,-1.8513,N,162861323.81,170158814.29,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
GOOGL,Alphabet Inc. Class A,US,Communication Services,Interactive Media & Services,4810.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,INSUFFICIENT_DATA,MANUAL_REVIEW,-3.4251,N,42.1682,Y,344.5376,298.0905,Y,29205433.33,32331612.70,N,-3.4251,Y,Y,10.9865,Y,29205433.33,28489314.29,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
GOOG,Alphabet Inc. Class C,US,Communication Services,Interactive Media & Services,4790.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,INSUFFICIENT_DATA,MANUAL_REVIEW,-3.5611,N,40.8911,Y,342.1172,297.8801,Y,19244923.81,21019836.51,N,-3.5611,Y,Y,10.4183,Y,19244923.81,19027363.49,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
AAPL,Apple Inc.,US,Information Technology,Technology Hardware,4370.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,0.0000,N,26.0390,Y,272.8766,262.3984,Y,48805300.00,45953211.11,Y,0.0000,N,Y,16.1579,Y,48805300.00,44052096.83,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
MSFT,Microsoft Corporation,US,Information Technology,Software,3150.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-23.8715,Y,15.6684,Y,401.1050,459.3303,N,33886104.76,32676150.00,Y,-23.8715,N,N,-2.8600,N,33886104.76,33643698.41,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
AMZN,Amazon.com Inc.,US,Consumer Discretionary,Broadline Retail,2850.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-1.1419,N,36.7524,Y,244.2782,231.0112,Y,43349838.10,45860450.79,N,-1.1419,N,Y,4.1092,Y,43349838.10,45044698.41,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
AVGO,Broadcom Inc.,US,Information Technology,Semiconductors,1990.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-4.0770,N,43.7783,Y,380.9766,351.0207,Y,18807857.14,27234626.19,N,-4.0770,Y,Y,0.8752,N,18807857.14,23810633.33,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
META,Meta Platforms Inc.,US,Communication Services,Interactive Media & Services,1550.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-19.5873,N,20.8362,Y,617.9428,668.0118,N,16475552.38,15758352.38,Y,-19.5873,N,N,-6.3894,N,16475552.38,15584074.60,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
TSLA,Tesla Inc.,US,Consumer Discretionary,Automobiles,1540.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-10.1086,N,28.2913,Y,390.0782,411.1379,N,53389447.62,63933812.70,N,-10.1086,Y,N,16.2912,Y,53389447.62,61321714.29,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
WMT,Walmart Inc.,US,Consumer Staples,Consumer Staples Distribution,1060.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-11.6691,N,13.9151,N,126.6790,114.9334,Y,19877733.33,25053507.14,N,-11.6691,Y,Y,-7.0930,N,19877733.33,19398585.71,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
